回号,抽せん日,当せん番号,digit1,digit2,digit3,digit4,straight_payout,box_payout,set_straight_payout,set_box_payout
第1112回,2003/01/13,933,0,9,3,3,1082000.0,90100.0,586000.0,45000.0
第1113回,2003/01/15,4147,4,1,4,7,660600.0,55000.0,357800.0,27500.0
第1114回,2003/01/17,8762,8,7,6,2,1308500.0,54500.0,681500.0,27200.0
第1115回,2003/01/20,5030,5,0,3,0,791700.0,65900.0,428800.0,32900.0
第1116回,2003/01/22,6813,6,8,1,3,849900.0,35400.0,442600.0,17700.0
第1117回,2003/01/24,4802,4,8,0,2,1180300.0,49100.0,614700.0,24500.0
第1118回,2003/01/27,4609,4,6,0,9,934700.0,38900.0,486800.0,19400.0
第1119回,2003/01/29,7161,7,1,6,1,1135500.0,94600.0,615000.0,47300.0
第1120回,2003/01/31,2343,2,3,4,3,987500.0,82200.0,534800.0,41100.0
第1121回,2003/02/03,7680,7,6,8,0,1399300.0,58300.0,728800.0,29100.0
第1122回,2003/02/05,9231,9,2,3,1,1096000.0,45600.0,570800.0,22800.0
第1123回,2003/02/07,27,0,0,2,7,801900.0,66800.0,434300.0,33400.0
第1124回,2003/02/10,6507,6,5,0,7,1082800.0,45100.0,563900.0,22500.0
第1125回,2003/02/12,3361,3,3,6,1,1015200.0,84600.0,549900.0,42300.0
第1126回,2003/02/14,7804,7,8,0,4,1440000.0,60000.0,750000.0,30000.0
第1127回,2003/02/17,6964,6,9,6,4,959600.0,79900.0,519700.0,39900.0
第1128回,2003/02/19,452,0,4,5,2,1139100.0,47400.0,593200.0,23700.0
第1129回,2003/02/21,6191,6,1,9,1,995100.0,82900.0,539000.0,41400.0
第1130回,2003/02/24,664,0,6,6,4,1385300.0,115400.0,750300.0,57700.0
第1131回,2003/02/26,7718,7,7,1,8,1121900.0,93400.0,607600.0,46700.0
第1132回,2003/02/28,2868,2,8,6,8,966300.0,80500.0,523400.0,40200.0
第1133回,2003/03/03,2351,2,3,5,1,720100.0,30000.0,375000.0,15000.0
第1134回,2003/03/05,9411,9,4,1,1,1001700.0,83400.0,542500.0,41700.0
第1135回,2003/03/07,3949,3,9,4,9,982500.0,81800.0,532100.0,40900.0
第1136回,2003/03/10,6788,6,7,8,8,935300.0,77900.0,506600.0,38900.0
第1137回,2003/03/12,7713,7,7,1,3,705000.0,58700.0,381800.0,29300.0
第1138回,2003/03/14,775,0,7,7,5,1433900.0,119400.0,776600.0,59700.0
第1139回,2003/03/17,3059,3,0,5,9,983800.0,40900.0,512300.0,20400.0
第1140回,2003/03/19,8919,8,9,1,9,1039300.0,86600.0,562900.0,43300.0
第1141回,2003/03/21,6073,6,0,7,3,1345600.0,56000.0,700800.0,28000.0
第1142回,2003/03/24,7123,7,1,2,3,853800.0,35500.0,444600.0,17700.0
第1143回,2003/03/26,2702,2,7,0,2,801000.0,66700.0,433800.0,33300.0
第1144回,2003/03/28,2169,2,1,6,9,909000.0,37800.0,473400.0,18900.0
第1145回,2003/03/31,84,0,0,8,4,700000.0,58300.0,379100.0,29100.0
第1146回,2003/04/02,7301,7,3,0,1,864900.0,36000.0,450400.0,18000.0
第1147回,2003/04/04,7989,7,9,8,9,988600.0,82300.0,535400.0,41100.0
第1148回,2003/04/07,9385,9,3,8,5,1577600.0,65700.0,821600.0,32800.0
第1149回,2003/04/09,8027,8,0,2,7,1086900.0,45200.0,566000.0,22600.0
第1150回,2003/04/11,5394,5,3,9,4,1366200.0,56900.0,711500.0,28400.0
第1151回,2003/04/14,5430,5,4,3,0,1341000.0,55800.0,698400.0,27900.0
第1152回,2003/04/16,390,0,3,9,0,886400.0,73800.0,480100.0,36900.0
第1153回,2003/04/18,6706,6,7,0,6,1001800.0,83400.0,542600.0,41700.0
第1154回,2003/04/21,9936,9,9,3,6,808700.0,67300.0,438000.0,33600.0
第1155回,2003/04/23,7908,7,9,0,8,989800.0,41200.0,515500.0,20600.0
第1156回,2003/04/25,2782,2,7,8,2,916200.0,76300.0,496200.0,38100.0
第1157回,2003/04/28,6819,6,8,1,9,931200.0,38800.0,485000.0,19400.0
第1158回,2003/04/30,2060,2,0,6,0,1140600.0,95000.0,617800.0,47500.0
第1159回,2003/05/02,9123,9,1,2,3,782900.0,32600.0,407700.0,16300.0
第1160回,2003/05/05,1563,1,5,6,3,892200.0,37100.0,464600.0,18500.0
第1161回,2003/05/07,1663,1,6,6,3,1068600.0,89000.0,578800.0,44500.0
第1162回,2003/05/09,5749,5,7,4,9,1018300.0,42400.0,530300.0,21200.0
第1163回,2003/05/12,1775,1,7,7,5,927900.0,77300.0,502600.0,38600.0
第1164回,2003/05/14,7894,7,8,9,4,1336100.0,55600.0,695800.0,27800.0
第1165回,2003/05/16,4973,4,9,7,3,1028400.0,42800.0,535600.0,21400.0
第1166回,2003/05/19,4212,4,2,1,2,918100.0,76500.0,497300.0,38200.0
第1167回,2003/05/21,2522,2,5,2,2,1024600.0,256100.0,640300.0,128000.0
第1168回,2003/05/23,2028,2,0,2,8,1152200.0,96000.0,624100.0,48000.0
第1169回,2003/05/26,5082,5,0,8,2,821500.0,34200.0,427800.0,17100.0
第1170回,2003/05/28,1602,1,6,0,2,993300.0,41300.0,517300.0,20600.0
第1171回,2003/05/30,8666,8,6,6,6,1088200.0,272000.0,680100.0,136000.0
第1172回,2003/06/02,3335,3,3,3,5,1142800.0,285700.0,714200.0,142800.0
第1173回,2003/06/04,8685,8,6,8,5,1057700.0,88100.0,572900.0,44000.0
第1174回,2003/06/06,2679,2,6,7,9,939600.0,39100.0,489300.0,19500.0
第1175回,2003/06/09,1228,1,2,2,8,319800.0,26600.0,173200.0,13300.0
第1176回,2003/06/11,7137,7,1,3,7,1018500.0,84800.0,551600.0,42400.0
第1177回,2003/06/13,1744,1,7,4,4,720300.0,60000.0,390100.0,30000.0
第1178回,2003/06/16,8604,8,6,0,4,1131200.0,47100.0,589100.0,23500.0
第1179回,2003/06/18,6048,6,0,4,8,1221500.0,50800.0,636100.0,25400.0
第1180回,2003/06/20,9833,9,8,3,3,1073000.0,89400.0,581200.0,44700.0
第1181回,2003/06/23,6929,6,9,2,9,1090800.0,90900.0,590800.0,45400.0
第1182回,2003/06/25,5863,5,8,6,3,940100.0,39100.0,489600.0,19500.0
第1183回,2003/06/27,7605,7,6,0,5,1082900.0,45100.0,564000.0,22500.0
第1184回,2003/06/30,714,0,7,1,4,521100.0,21700.0,271400.0,10800.0
第1185回,2003/07/02,7113,7,1,1,3,813700.0,67800.0,440700.0,33900.0
第1186回,2003/07/04,7239,7,2,3,9,702800.0,29200.0,366000.0,14600.0
第1187回,2003/07/07,2016,2,0,1,6,886400.0,36900.0,461600.0,18400.0
第1188回,2003/07/09,4960,4,9,6,0,1403800.0,58400.0,731100.0,29200.0
第1189回,2003/07/11,7781,7,7,8,1,1115100.0,92900.0,604000.0,46400.0
第1190回,2003/07/14,837,0,8,3,7,1430700.0,59600.0,745100.0,29800.0
第1191回,2003/07/16,27,0,0,2,7,851000.0,70900.0,460900.0,35400.0
第1192回,2003/07/18,9529,9,5,2,9,1366600.0,113800.0,740200.0,56900.0
第1193回,2003/07/21,6336,6,3,3,6,1073500.0,178900.0,626200.0,89400.0
第1194回,2003/07/23,4712,4,7,1,2,770000.0,32000.0,401000.0,16000.0
第1195回,2003/07/25,625,0,6,2,5,643900.0,26800.0,335300.0,13400.0
第1196回,2003/07/28,6610,6,6,1,0,1084100.0,90300.0,587200.0,45100.0
第1197回,2003/07/30,7564,7,5,6,4,1076100.0,44800.0,560400.0,22400.0
第1198回,2003/08/01,9841,9,8,4,1,647200.0,26900.0,337000.0,13400.0
第1199回,2003/08/04,3177,3,1,7,7,694400.0,57800.0,376100.0,28900.0
第1200回,2003/08/06,4544,4,5,4,4,739000.0,184700.0,461800.0,92300.0
第1201回,2003/08/08,9572,9,5,7,2,961600.0,40000.0,500800.0,20000.0
第1202回,2003/08/11,3718,3,7,1,8,682200.0,28400.0,355300.0,14200.0
第1203回,2003/08/13,3238,3,2,3,8,967200.0,80600.0,523900.0,40300.0
第1204回,2003/08/15,1696,1,6,9,6,983800.0,81900.0,532800.0,40900.0
第1205回,2003/08/18,5878,5,8,7,8,1359200.0,113200.0,736200.0,56600.0
第1206回,2003/08/20,1315,1,3,1,5,614700.0,51200.0,332900.0,25600.0
第1207回,2003/08/22,984,0,9,8,4,1307400.0,54400.0,680900.0,27200.0
第1208回,2003/08/25,5740,5,7,4,0,1255700.0,52300.0,654000.0,26100.0
第1209回,2003/08/27,7034,7,0,3,4,903500.0,37600.0,470500.0,18800.0
第1210回,2003/08/29,1360,1,3,6,0,1181700.0,49200.0,615400.0,24600.0
第1211回,2003/09/01,5048,5,0,4,8,1105800.0,46000.0,575900.0,23000.0
第1212回,2003/09/03,6047,6,0,4,7,986500.0,41100.0,513800.0,20500.0
第1213回,2003/09/05,4954,4,9,5,4,1138400.0,94800.0,616600.0,47400.0
第1214回,2003/09/08,71,0,0,7,1,891600.0,74300.0,482900.0,37100.0
第1215回,2003/09/10,182,0,1,8,2,1087800.0,45300.0,566500.0,22600.0
第1216回,2003/09/12,563,0,5,6,3,1308800.0,54500.0,681600.0,27200.0
第1217回,2003/09/15,3991,3,9,9,1,874900.0,72900.0,473900.0,36400.0
第1218回,2003/09/17,7137,7,1,3,7,401200.0,33400.0,217300.0,16700.0
第1219回,2003/09/19,7744,7,7,4,4,843400.0,140500.0,491900.0,70200.0
第1220回,2003/09/22,1413,1,4,1,3,719300.0,59900.0,389600.0,29900.0
第1221回,2003/09/24,8030,8,0,3,0,1049000.0,87400.0,568200.0,43700.0
第1222回,2003/09/26,1642,1,6,4,2,1081300.0,45000.0,563100.0,22500.0
第1223回,2003/09/29,2308,2,3,0,8,917800.0,38200.0,478000.0,19100.0
第1224回,2003/10/01,5404,5,4,0,4,1554300.0,129500.0,841900.0,64700.0
第1225回,2003/10/03,1065,1,0,6,5,1017000.0,42300.0,529600.0,21100.0
第1226回,2003/10/06,923,0,9,2,3,500500.0,20800.0,260600.0,10400.0
第1227回,2003/10/08,4475,4,4,7,5,1152700.0,96000.0,624300.0,48000.0
第1228回,2003/10/10,6685,6,6,8,5,301300.0,25100.0,163200.0,12500.0
第1229回,2003/10/13,3409,3,4,0,9,1001100.0,41700.0,521400.0,20800.0
第1230回,2003/10/15,7871,7,8,7,1,885000.0,73700.0,479300.0,36800.0
第1231回,2003/10/17,6084,6,0,8,4,1047400.0,43600.0,545500.0,21800.0
第1232回,2003/10/20,3940,3,9,4,0,884000.0,36800.0,460400.0,18400.0
第1233回,2003/10/22,8185,8,1,8,5,1308400.0,109000.0,708700.0,54500.0
第1234回,2003/10/24,3040,3,0,4,0,945000.0,78700.0,511800.0,39300.0
第1235回,2003/10/27,3780,3,7,8,0,839600.0,34900.0,437200.0,17400.0
第1236回,2003/10/29,5559,5,5,5,9,896900.0,224200.0,560500.0,112100.0
第1237回,2003/10/31,5559,5,5,5,9,633600.0,158400.0,396000.0,79200.0
第1238回,2003/11/03,2412,2,4,1,2,699900.0,58300.0,379100.0,29100.0
第1239回,2003/11/05,8090,8,0,9,0,873400.0,72700.0,473000.0,36300.0
第1240回,2003/11/07,4057,4,0,5,7,856900.0,35700.0,446300.0,17800.0
第1241回,2003/11/10,8444,8,4,4,4,1180300.0,295000.0,737600.0,147500.0
第1242回,2003/11/12,6880,6,8,8,0,1307000.0,108900.0,707900.0,54400.0
第1243回,2003/11/14,8823,8,8,2,3,354800.0,29500.0,192100.0,14700.0
第1244回,2003/11/17,8984,8,9,8,4,1735600.0,144600.0,940100.0,72300.0
第1245回,2003/11/19,3745,3,7,4,5,669200.0,27800.0,348500.0,13900.0
第1246回,2003/11/21,6272,6,2,7,2,1230400.0,102500.0,666400.0,51200.0
第1247回,2003/11/24,5603,5,6,0,3,831700.0,34600.0,433100.0,17300.0
第1248回,2003/11/26,9810,9,8,1,0,1001700.0,41700.0,521700.0,20800.0
第1249回,2003/11/28,5555,5,5,5,5,279700.0,,,
第1250回,2003/12/01,2167,2,1,6,7,1079400.0,44900.0,562100.0,22400.0
第1251回,2003/12/03,498,0,4,9,8,1201800.0,50000.0,625900.0,25000.0
第1252回,2003/12/05,3325,3,3,2,5,784200.0,65300.0,424700.0,32600.0
第1253回,2003/12/08,3251,3,2,5,1,772100.0,32100.0,402100.0,16000.0
第1254回,2003/12/10,4422,4,4,2,2,1006600.0,167700.0,587100.0,83800.0
第1255回,2003/12/12,6998,6,9,9,8,1085500.0,90400.0,587900.0,45200.0
第1256回,2003/12/15,8943,8,9,4,3,958500.0,39900.0,499200.0,19900.0
第1257回,2003/12/17,6815,6,8,1,5,1206500.0,50200.0,628300.0,25100.0
第1258回,2003/12/19,4037,4,0,3,7,727400.0,30300.0,378800.0,15100.0
第1259回,2003/12/22,5815,5,8,1,5,1180000.0,98300.0,639100.0,49100.0
第1260回,2003/12/24,6039,6,0,3,9,698200.0,29000.0,363600.0,14500.0
第1261回,2003/12/26,2389,2,3,8,9,683700.0,28400.0,356000.0,14200.0
第1262回,2003/12/29,3399,3,3,9,9,576700.0,96100.0,336400.0,48000.0
第1263回,2004/01/05,7138,7,1,3,8,968000.0,40300.0,504100.0,20100.0
第1264回,2004/01/07,2324,2,3,2,4,732600.0,61000.0,396800.0,30500.0
第1265回,2004/01/09,83,0,0,8,3,1172800.0,97700.0,635200.0,48800.0
第1266回,2004/01/12,8351,8,3,5,1,954500.0,39700.0,497100.0,19800.0
第1267回,2004/01/14,2185,2,1,8,5,1027300.0,42800.0,535000.0,21400.0
第1268回,2004/01/16,9722,9,7,2,2,1186200.0,98800.0,642500.0,49400.0
第1269回,2004/01/19,7337,7,3,3,7,880700.0,146700.0,513700.0,73300.0
第1270回,2004/01/21,9483,9,4,8,3,1167600.0,48600.0,608100.0,24300.0
第1271回,2004/01/23,1255,1,2,5,5,828700.0,69000.0,448800.0,34500.0
第1272回,2004/01/26,2981,2,9,8,1,876300.0,36500.0,456400.0,18200.0
第1273回,2004/01/28,1995,1,9,9,5,1132600.0,94300.0,613400.0,47100.0
第1274回,2004/01/30,1915,1,9,1,5,841000.0,70000.0,455500.0,35000.0
第1275回,2004/02/02,3824,3,8,2,4,433100.0,18000.0,225500.0,9000.0
第1276回,2004/02/04,982,0,9,8,2,1309100.0,54500.0,681800.0,27200.0
第1277回,2004/02/06,3879,3,8,7,9,1214300.0,50500.0,632400.0,25200.0
第1278回,2004/02/09,5122,5,1,2,2,851600.0,70900.0,461200.0,35400.0
第1279回,2004/02/11,9807,9,8,0,7,1361400.0,56700.0,709000.0,28300.0
第1280回,2004/02/13,1085,1,0,8,5,843100.0,35100.0,439100.0,17500.0
第1281回,2004/02/16,5011,5,0,1,1,712200.0,59300.0,385700.0,29600.0
第1282回,2004/02/18,2421,2,4,2,1,773300.0,64400.0,418800.0,32200.0
第1283回,2004/02/20,8813,8,8,1,3,987500.0,82200.0,534800.0,41100.0
第1284回,2004/02/23,7244,7,2,4,4,1189600.0,99100.0,644300.0,49500.0
第1285回,2004/02/25,2282,2,2,8,2,1098600.0,274600.0,686600.0,137300.0
第1286回,2004/02/27,9108,9,1,0,8,910200.0,37900.0,474000.0,18900.0
第1287回,2004/03/01,4516,4,5,1,6,1040600.0,43300.0,541900.0,21600.0
第1288回,2004/03/03,9473,9,4,7,3,1192000.0,49600.0,620800.0,24800.0
第1289回,2004/03/05,7764,7,7,6,4,1125000.0,93700.0,609300.0,46800.0
第1290回,2004/03/08,4750,4,7,5,0,1149100.0,47800.0,598400.0,23900.0
第1291回,2004/03/10,2608,2,6,0,8,1032000.0,43000.0,537500.0,21500.0
第1292回,2004/03/12,8834,8,8,3,4,933900.0,77800.0,505800.0,38900.0
第1293回,2004/03/15,4747,4,7,4,7,724700.0,120700.0,422700.0,60300.0
第1294回,2004/03/17,2914,2,9,1,4,588100.0,24500.0,306300.0,12200.0
第1295回,2004/03/19,9396,9,3,9,6,970400.0,80800.0,525600.0,40400.0
第1296回,2004/03/22,3413,3,4,1,3,897000.0,74700.0,485800.0,37300.0
第1297回,2004/03/24,769,0,7,6,9,1550200.0,64500.0,807300.0,32200.0
第1298回,2004/03/26,318,0,3,1,8,462900.0,19200.0,241000.0,9600.0
第1299回,2004/03/29,7766,7,7,6,6,1075100.0,179100.0,627100.0,89500.0
第1300回,2004/03/31,322,0,3,2,2,618200.0,51500.0,334800.0,25700.0
第1301回,2004/04/02,7623,7,6,2,3,662000.0,27500.0,344700.0,13700.0
第1302回,2004/04/05,3979,3,9,7,9,1283600.0,106900.0,695200.0,53400.0
第1303回,2004/04/07,2670,2,6,7,0,1176700.0,49000.0,612800.0,24500.0
第1304回,2004/04/09,9082,9,0,8,2,1018800.0,42400.0,530600.0,21200.0
第1305回,2004/04/12,2356,2,3,5,6,565100.0,23500.0,294300.0,11700.0
第1306回,2004/04/14,4380,4,3,8,0,1204600.0,50100.0,627300.0,25000.0
第1307回,2004/04/16,7587,7,5,8,7,1472300.0,122600.0,797400.0,61300.0
第1308回,2004/04/19,4544,4,5,4,4,522700.0,130600.0,326600.0,65300.0
第1309回,2004/04/21,8455,8,4,5,5,998900.0,83200.0,541000.0,41600.0
第1310回,2004/04/23,7481,7,4,8,1,1024600.0,42600.0,533600.0,21300.0
第1311回,2004/04/26,5337,5,3,3,7,828000.0,69000.0,448500.0,34500.0
第1312回,2004/04/28,7896,7,8,9,6,1230200.0,51200.0,640700.0,25600.0
第1313回,2004/04/30,1363,1,3,6,3,1094100.0,91100.0,592600.0,45500.0
第1314回,2004/05/03,6771,6,7,7,1,972100.0,81000.0,526500.0,40500.0
第1315回,2004/05/05,5083,5,0,8,3,944900.0,39300.0,492100.0,19600.0
第1316回,2004/05/07,8384,8,3,8,4,1077600.0,89800.0,583700.0,44900.0
第1317回,2004/05/10,4798,4,7,9,8,1033500.0,43000.0,538200.0,21500.0
第1318回,2004/05/12,865,0,8,6,5,1230900.0,51200.0,641000.0,25600.0
第1319回,2004/05/14,5525,5,5,2,5,731900.0,182900.0,457400.0,91400.0
第1320回,2004/05/17,7559,7,5,5,9,1223100.0,101900.0,662500.0,50900.0
第1321回,2004/05/19,319,0,3,1,9,653600.0,27200.0,340400.0,13600.0
第1322回,2004/05/21,5282,5,2,8,2,1021300.0,85100.0,553200.0,42500.0
第1323回,2004/05/24,4105,4,1,0,5,1047100.0,43600.0,545300.0,21800.0
第1324回,2004/05/26,7807,7,8,0,7,1526600.0,127200.0,826900.0,63600.0
第1325回,2004/05/28,1070,1,0,7,0,1210700.0,100800.0,655700.0,50400.0
第1326回,2004/05/31,5972,5,9,7,2,1011500.0,42100.0,526800.0,21000.0
第1327回,2004/06/02,807,0,8,0,7,808900.0,67400.0,438100.0,33700.0
第1328回,2004/06/04,295,0,2,9,5,1087800.0,45300.0,566500.0,22600.0
第1329回,2004/06/07,1508,1,5,0,8,916600.0,38100.0,477300.0,19000.0
第1330回,2004/06/09,2059,2,0,5,9,799400.0,33300.0,416300.0,16600.0
第1331回,2004/06/11,5223,5,2,2,3,1049000.0,87400.0,568200.0,43700.0
第1332回,2004/06/14,6966,6,9,6,6,966500.0,241600.0,604000.0,120800.0
第1333回,2004/06/16,1459,1,4,5,9,995700.0,41400.0,518500.0,20700.0
第1334回,2004/06/18,5909,5,9,0,9,1045100.0,87000.0,566000.0,43500.0
第1335回,2004/06/21,6125,6,1,2,5,832100.0,34600.0,433300.0,17300.0
第1336回,2004/06/23,5823,5,8,2,3,781700.0,32500.0,407100.0,16200.0
第1337回,2004/06/25,224,0,2,2,4,583700.0,48600.0,316100.0,24300.0
第1338回,2004/06/28,8476,8,4,7,6,1421200.0,59200.0,740200.0,29600.0
第1339回,2004/06/30,4974,4,9,7,4,995400.0,82900.0,539100.0,41400.0
第1340回,2004/07/01,8049,8,0,4,9,852300.0,35500.0,443900.0,17700.0
第1341回,2004/07/02,7881,7,8,8,1,944600.0,78700.0,511600.0,39300.0
第1342回,2004/07/05,3365,3,3,6,5,885100.0,73700.0,479400.0,36800.0
第1343回,2004/07/06,8592,8,5,9,2,977100.0,40700.0,508900.0,20300.0
第1344回,2004/07/07,1111,1,1,1,1,294600.0,,,
第1345回,2004/07/08,4488,4,4,8,8,828000.0,138000.0,483000.0,69000.0
第1346回,2004/07/09,4101,4,1,0,1,788500.0,65700.0,427100.0,32800.0
第1347回,2004/07/12,1176,1,1,7,6,1121900.0,93400.0,607600.0,46700.0
第1348回,2004/07/13,3350,3,3,5,0,1115800.0,92900.0,604300.0,46400.0
第1349回,2004/07/14,7256,7,2,5,6,898300.0,37400.0,467800.0,18700.0
第1350回,2004/07/15,1698,1,6,9,8,1096700.0,45600.0,571100.0,22800.0
第1351回,2004/07/16,5866,5,8,6,6,1134200.0,94500.0,614300.0,47200.0
第1352回,2004/07/19,7622,7,6,2,2,959700.0,79900.0,519800.0,39900.0
第1353回,2004/07/20,198,0,1,9,8,903600.0,37600.0,470600.0,18800.0
第1354回,2004/07/21,6986,6,9,8,6,929200.0,77400.0,503300.0,38700.0
第1355回,2004/07/22,4709,4,7,0,9,976500.0,40600.0,508500.0,20300.0
第1356回,2004/07/23,1764,1,7,6,4,1053400.0,43800.0,548600.0,21900.0
第1357回,2004/07/26,9081,9,0,8,1,785700.0,32700.0,409200.0,16300.0
第1358回,2004/07/27,6791,6,7,9,1,896800.0,37300.0,467000.0,18600.0
第1359回,2004/07/28,4470,4,4,7,0,986600.0,82200.0,534400.0,41100.0
第1360回,2004/07/29,308,0,3,0,8,635300.0,52900.0,344100.0,26400.0
第1361回,2004/07/30,2705,2,7,0,5,822900.0,34200.0,428500.0,17100.0
第1362回,2004/08/02,8369,8,3,6,9,859000.0,35700.0,447300.0,17800.0
第1363回,2004/08/03,5531,5,5,3,1,636400.0,53000.0,344700.0,26500.0
第1364回,2004/08/04,478,0,4,7,8,1134300.0,47200.0,590700.0,23600.0
第1365回,2004/08/05,1291,1,2,9,1,754800.0,62900.0,408800.0,31400.0
第1366回,2004/08/06,5580,5,5,8,0,882700.0,73500.0,478100.0,36700.0
第1367回,2004/08/09,3348,3,3,4,8,1071300.0,89200.0,580200.0,44600.0
第1368回,2004/08/10,8581,8,5,8,1,930800.0,77500.0,504100.0,38700.0
第1369回,2004/08/11,8006,8,0,0,6,1525100.0,127000.0,826000.0,63500.0
第1370回,2004/08/12,7018,7,0,1,8,878500.0,36600.0,457500.0,18300.0
第1371回,2004/08/13,8701,8,7,0,1,787800.0,32800.0,410300.0,16400.0
第1372回,2004/08/16,241,0,2,4,1,1261100.0,52500.0,656800.0,26200.0
第1373回,2004/08/17,6624,6,6,2,4,850000.0,70800.0,460400.0,35400.0
第1374回,2004/08/18,7867,7,8,6,7,835800.0,69600.0,452700.0,34800.0
第1375回,2004/08/19,5830,5,8,3,0,1086100.0,45200.0,565600.0,22600.0
第1376回,2004/08/20,6759,6,7,5,9,1184400.0,49300.0,616800.0,24600.0
第1377回,2004/08/23,979,0,9,7,9,1642500.0,136800.0,889600.0,68400.0
第1378回,2004/08/24,264,0,2,6,4,1343700.0,55900.0,699800.0,27900.0
第1379回,2004/08/25,354,0,3,5,4,1144500.0,47600.0,596000.0,23800.0
第1380回,2004/08/26,6443,6,4,4,3,1115800.0,92900.0,604300.0,46400.0
第1381回,2004/08/27,743,0,7,4,3,962400.0,40100.0,501200.0,20000.0
第1382回,2004/08/30,4394,4,3,9,4,1430300.0,119100.0,774700.0,59500.0
第1383回,2004/08/31,1729,1,7,2,9,791700.0,32900.0,412300.0,16400.0
第1384回,2004/09/01,8815,8,8,1,5,994500.0,82800.0,538600.0,41400.0
第1385回,2004/09/02,2589,2,5,8,9,847600.0,35300.0,441400.0,17600.0
第1386回,2004/09/03,4037,4,0,3,7,783600.0,32600.0,408100.0,16300.0
第1387回,2004/09/06,9502,9,5,0,2,931900.0,38800.0,485300.0,19400.0
第1388回,2004/09/07,1102,1,1,0,2,349200.0,29100.0,189100.0,14500.0
第1389回,2004/09/08,9345,9,3,4,5,1655800.0,68900.0,862300.0,34400.0
第1390回,2004/09/09,9424,9,4,2,4,1486400.0,123800.0,805100.0,61900.0
第1391回,2004/09/10,1908,1,9,0,8,555400.0,23100.0,289200.0,11500.0
第1392回,2004/09/13,4797,4,7,9,7,1049200.0,87400.0,568300.0,43700.0
第1393回,2004/09/14,8874,8,8,7,4,1129000.0,94000.0,611500.0,47000.0
第1394回,2004/09/15,5868,5,8,6,8,1076900.0,89700.0,583300.0,44800.0
第1395回,2004/09/16,5397,5,3,9,7,1187800.0,49400.0,618600.0,24700.0
第1396回,2004/09/17,5420,5,4,2,0,990000.0,41200.0,515600.0,20600.0
第1397回,2004/09/20,2213,2,2,1,3,691400.0,57600.0,374500.0,28800.0
第1398回,2004/09/21,5479,5,4,7,9,810000.0,33700.0,421800.0,16800.0
第1399回,2004/09/22,1672,1,6,7,2,1052900.0,43800.0,548300.0,21900.0
第1400回,2004/09/23,9711,9,7,1,1,1041700.0,86800.0,564200.0,43400.0
第1401回,2004/09/24,9456,9,4,5,6,1105200.0,46000.0,575600.0,23000.0
第1402回,2004/09/27,7611,7,6,1,1,1045800.0,87100.0,566400.0,43500.0
第1403回,2004/09/28,6261,6,2,6,1,1048200.0,87300.0,567700.0,43600.0
第1404回,2004/09/29,8528,8,5,2,8,967400.0,80600.0,524000.0,40300.0
第1405回,2004/09/30,2952,2,9,5,2,996400.0,83000.0,539700.0,41500.0
第1406回,2004/10/01,4486,4,4,8,6,992000.0,82600.0,537300.0,41300.0
第1407回,2004/10/04,1478,1,4,7,8,713600.0,29700.0,371600.0,14800.0
第1408回,2004/10/05,3318,3,3,1,8,755800.0,62900.0,409300.0,31400.0
第1409回,2004/10/06,6703,6,7,0,3,1076100.0,44800.0,560400.0,22400.0
第1410回,2004/10/07,6778,6,7,7,8,887100.0,73900.0,480500.0,36900.0
第1411回,2004/10/08,1149,1,1,4,9,849800.0,70800.0,460300.0,35400.0
第1412回,2004/10/11,3407,3,4,0,7,682900.0,28400.0,355600.0,14200.0
第1413回,2004/10/12,4996,4,9,9,6,973200.0,81100.0,527100.0,40500.0
第1414回,2004/10/13,1174,1,1,7,4,676600.0,56300.0,366400.0,28100.0
第1415回,2004/10/14,1418,1,4,1,8,626800.0,52200.0,339500.0,26100.0
第1416回,2004/10/15,1939,1,9,3,9,617600.0,51400.0,334500.0,25700.0
第1417回,2004/10/18,4230,4,2,3,0,1255700.0,52300.0,654000.0,26100.0
第1418回,2004/10/19,5807,5,8,0,7,914900.0,38100.0,476500.0,19000.0
第1419回,2004/10/20,1510,1,5,1,0,803300.0,66900.0,435100.0,33400.0
第1420回,2004/10/21,8339,8,3,3,9,1269500.0,105700.0,687600.0,52800.0
第1421回,2004/10/22,6151,6,1,5,1,1092200.0,91000.0,591600.0,45500.0
第1422回,2004/10/25,7535,7,5,3,5,864600.0,72000.0,468300.0,36000.0
第1423回,2004/10/26,598,0,5,9,8,1376800.0,57300.0,717000.0,28600.0
第1424回,2004/10/27,9570,9,5,7,0,1070300.0,44500.0,557400.0,22200.0
第1425回,2004/10/28,6026,6,0,2,6,1379800.0,114900.0,747300.0,57400.0
第1426回,2004/10/29,7728,7,7,2,8,909300.0,75700.0,492500.0,37800.0
第1427回,2004/11/01,7121,7,1,2,1,727000.0,60500.0,393700.0,30200.0
第1428回,2004/11/02,9519,9,5,1,9,1264200.0,105300.0,684700.0,52600.0
第1429回,2004/11/03,6437,6,4,3,7,949900.0,39500.0,494700.0,19700.0
第1430回,2004/11/04,9002,9,0,0,2,1093800.0,91100.0,592400.0,45500.0
第1431回,2004/11/05,1118,1,1,1,8,315400.0,78800.0,197100.0,39400.0
第1432回,2004/11/08,287,0,2,8,7,1367600.0,56900.0,712200.0,28400.0
第1433回,2004/11/09,1394,1,3,9,4,1043400.0,43400.0,543400.0,21700.0
