draw_no,draw_date,winning_number,digit1,digit2,digit3,digit4,straight_payout,box_payout,set_straight_payout,set_box_payout
1044,2002-08-02,7522,7,5,2,2,789100,65700,427400,32800
1045,2002-08-05,8650,8,6,5,0,1162500,48400,605400,24200
1046,2002-08-07,4598,4,5,9,8,972800,40500,506600,20200
1047,2002-08-09,8130,8,1,3,0,914900,38100,476500,19000
1048,2002-08-12,1440,1,4,4,0,1023700,85300,554500,42600
1049,2002-08-14,9320,9,3,2,0,1015300,42300,528800,21100
1050,2002-08-16,7259,7,2,5,9,698300,29000,363600,14500
1051,2002-08-19,3269,3,2,6,9,760700,31600,396100,15800
1052,2002-08-21,1835,1,8,3,5,752000,31300,391600,15600
1053,2002-08-23,2997,2,9,9,7,1222300,101800,662000,50900
1054,2002-08-26,7131,7,1,3,1,1129600,94100,611800,47000
1055,2002-08-28,2400,2,4,0,0,1039900,86600,563200,43300
1056,2002-08-30,4327,4,3,2,7,861000,35800,448400,17900
1057,2002-09-02,2653,2,6,5,3,757600,31500,394500,15700
1058,2002-09-04,4461,4,4,6,1,998700,83200,540900,41600
1059,2002-09-06,3267,3,2,6,7,610300,25400,317800,12700
1060,2002-09-09,3119,3,1,1,9,951100,79200,515100,39600
1061,2002-09-11,3354,3,3,5,4,949200,79100,514100,39500
1062,2002-09-13,0671,0,6,7,1,1632600,68000,850300,34000
1063,2002-09-16,6591,6,5,9,1,1013200,42200,527700,21100
1064,2002-09-18,5453,5,4,5,3,784800,65400,425100,32700
1065,2002-09-20,7532,7,5,3,2,752400,31300,391800,15600
1066,2002-09-23,5777,5,7,7,7,1107500,276800,692100,138400
1067,2002-09-25,7452,7,4,5,2,732800,30500,381600,15200
1068,2002-09-27,6280,6,2,8,0,1044500,43500,544000,21700
1069,2002-09-30,9646,9,6,4,6,711300,59200,385200,29600
1070,2002-10-02,7779,7,7,7,9,1319400,329800,824600,164900
1071,2002-10-04,7683,7,6,8,3,1267500,52800,660100,26400
1072,2002-10-07,8112,8,1,1,2,976500,81300,528900,40600
1073,2002-10-09,4549,4,5,4,9,1195400,99600,647500,49800
1074,2002-10-11,2771,2,7,7,1,1069000,89000,579000,44500
1075,2002-10-14,8217,8,2,1,7,1053600,43900,548700,21900
1076,2002-10-16,4968,4,9,6,8,910000,37900,473900,18900
1077,2002-10-18,3761,3,7,6,1,942500,39200,490800,19600
1078,2002-10-21,5158,5,1,5,8,1205100,100400,652700,50200
1079,2002-10-23,4397,4,3,9,7,922900,38400,480600,19200
1080,2002-10-25,8336,8,3,3,6,980500,81700,531100,40800
1081,2002-10-28,9901,9,9,0,1,867700,72300,470000,36100
1082,2002-10-30,6697,6,6,9,7,1180200,98300,639200,49100
1083,2002-11-01,2707,2,7,0,7,1331200,110900,721000,55400
1084,2002-11-04,2125,2,1,2,5,765200,63700,414400,31800
1085,2002-11-06,0319,0,3,1,9,571100,23700,297400,11800
1086,2002-11-08,7239,7,2,3,9,743400,30900,387100,15400
1087,2002-11-11,2354,2,3,5,4,793300,33000,413100,16500
1088,2002-11-13,9423,9,4,2,3,1061600,44200,552900,22100
1089,2002-11-15,7368,7,3,6,8,1029000,42800,535900,21400
1090,2002-11-18,2568,2,5,6,8,659200,27400,343300,13700
1091,2002-11-20,4059,4,0,5,9,679400,28300,353800,14100
1092,2002-11-22,0060,0,0,6,0,1089700,272400,681000,136200
1093,2002-11-25,2556,2,5,5,6,873500,72700,473100,36300
1094,2002-11-27,1440,1,4,4,0,1054000,87800,570900,43900
1095,2002-11-29,5351,5,3,5,1,1024400,85300,554800,42600
1096,2002-12-02,1221,1,2,2,1,255000,42500,148700,21200
1097,2002-12-04,0058,0,0,5,8,1630100,135800,882900,67900
1098,2002-12-06,9848,9,8,4,8,1193500,99400,646400,49700
1099,2002-12-09,9507,9,5,0,7,972900,40500,506700,20200
1100,2002-12-11,5731,5,7,3,1,697700,29000,363300,14500
1101,2002-12-13,6233,6,2,3,3,827900,68900,448400,34400
1102,2002-12-16,4344,4,3,4,4,644800,161200,403000,80600
1103,2002-12-18,2008,2,0,0,8,1017700,84800,551200,42400
1104,2002-12-20,8199,8,1,9,9,793500,66100,429800,33000
1105,2002-12-23,6415,6,4,1,5,1006300,41900,524100,20900
1106,2002-12-25,4539,4,5,3,9,800500,33300,416900,16600
1107,2002-12-27,4938,4,9,3,8,1204400,50100,627200,25000
1108,2002-12-30,4265,4,2,6,5,848600,35300,441900,17600
1109,2003-01-06,6300,6,3,0,0,1246700,103800,675200,51900
1110,2003-01-08,4368,4,3,6,8,676500,28100,352300,14000
1111,2003-01-10,0570,0,5,7,0,1120900,93400,607100,46700
1112,2003-01-13,0933,0,9,3,3,1082000,90100,586000,45000
1113,2003-01-15,4147,4,1,4,7,660600,55000,357800,27500
1114,2003-01-17,8762,8,7,6,2,1308500,54500,681500,27200
1115,2003-01-20,5030,5,0,3,0,791700,65900,428800,32900
1116,2003-01-22,6813,6,8,1,3,849900,35400,442600,17700
1117,2003-01-24,4802,4,8,0,2,1180300,49100,614700,24500
1118,2003-01-27,4609,4,6,0,9,934700,38900,486800,19400
1119,2003-01-29,7161,7,1,6,1,1135500,94600,615000,47300
1120,2003-01-31,2343,2,3,4,3,987500,82200,534800,41100
1121,2003-02-03,7680,7,6,8,0,1399300,58300,728800,29100
1122,2003-02-05,9231,9,2,3,1,1096000,45600,570800,22800
1123,2003-02-07,0027,0,0,2,7,801900,66800,434300,33400
1124,2003-02-10,6507,6,5,0,7,1082800,45100,563900,22500
1125,2003-02-12,3361,3,3,6,1,1015200,84600,549900,42300
1126,2003-02-14,7804,7,8,0,4,1440000,60000,750000,30000
1127,2003-02-17,6964,6,9,6,4,959600,79900,519700,39900
1128,2003-02-19,0452,0,4,5,2,1139100,47400,593200,23700
1129,2003-02-21,6191,6,1,9,1,995100,82900,539000,41400
1130,2003-02-24,0664,0,6,6,4,1385300,115400,750300,57700
1131,2003-02-26,7718,7,7,1,8,1121900,93400,607600,46700
1132,2003-02-28,2868,2,8,6,8,966300,80500,523400,40200
1133,2003-03-03,2351,2,3,5,1,720100,30000,375000,15000
1134,2003-03-05,9411,9,4,1,1,1001700,83400,542500,41700
1135,2003-03-07,3949,3,9,4,9,982500,81800,532100,40900
1136,2003-03-10,6788,6,7,8,8,935300,77900,506600,38900
1137,2003-03-12,7713,7,7,1,3,705000,58700,381800,29300
1138,2003-03-14,0775,0,7,7,5,1433900,119400,776600,59700
1139,2003-03-17,3059,3,0,5,9,983800,40900,512300,20400
1140,2003-03-19,8919,8,9,1,9,1039300,86600,562900,43300
1141,2003-03-21,6073,6,0,7,3,1345600,56000,700800,28000
1142,2003-03-24,7123,7,1,2,3,853800,35500,444600,17700
1143,2003-03-26,2702,2,7,0,2,801000,66700,433800,33300
1144,2003-03-28,2169,2,1,6,9,909000,37800,473400,18900
1145,2003-03-31,0084,0,0,8,4,700000,58300,379100,29100
1146,2003-04-02,7301,7,3,0,1,864900,36000,450400,18000
1147,2003-04-04,7989,7,9,8,9,988600,82300,535400,41100
1148,2003-04-07,9385,9,3,8,5,1577600,65700,821600,32800
1149,2003-04-09,8027,8,0,2,7,1086900,45200,566000,22600
1150,2003-04-11,5394,5,3,9,4,1366200,56900,711500,28400
1151,2003-04-14,5430,5,4,3,0,1341000,55800,698400,27900
1152,2003-04-16,0390,0,3,9,0,886400,73800,480100,36900
1153,2003-04-18,6706,6,7,0,6,1001800,83400,542600,41700
1154,2003-04-21,9936,9,9,3,6,808700,67300,438000,33600
1155,2003-04-23,7908,7,9,0,8,989800,41200,515500,20600
1156,2003-04-25,2782,2,7,8,2,916200,76300,496200,38100
1157,2003-04-28,6819,6,8,1,9,931200,38800,485000,19400
1158,2003-04-30,2060,2,0,6,0,1140600,95000,617800,47500
1159,2003-05-02,9123,9,1,2,3,782900,32600,407700,16300
1160,2003-05-05,1563,1,5,6,3,892200,37100,464600,18500
1161,2003-05-07,1663,1,6,6,3,1068600,89000,578800,44500
1162,2003-05-09,5749,5,7,4,9,1018300,42400,530300,21200
1163,2003-05-12,1775,1,7,7,5,927900,77300,502600,38600
1164,2003-05-14,7894,7,8,9,4,1336100,55600,695800,27800
1165,2003-05-16,4973,4,9,7,3,1028400,42800,535600,21400
1166,2003-05-19,4212,4,2,1,2,918100,76500,497300,38200
1167,2003-05-21,2522,2,5,2,2,1024600,256100,640300,128000
1168,2003-05-23,2028,2,0,2,8,1152200,96000,624100,48000
1169,2003-05-26,5082,5,0,8,2,821500,34200,427800,17100
1170,2003-05-28,1602,1,6,0,2,993300,41300,517300,20600
1171,2003-05-30,8666,8,6,6,6,1088200,272000,680100,136000
1172,2003-06-02,3335,3,3,3,5,1142800,285700,714200,142800
1173,2003-06-04,8685,8,6,8,5,1057700,88100,572900,44000
1174,2003-06-06,2679,2,6,7,9,939600,39100,489300,19500
1175,2003-06-09,1228,1,2,2,8,319800,26600,173200,13300
1176,2003-06-11,7137,7,1,3,7,1018500,84800,551600,42400
1177,2003-06-13,1744,1,7,4,4,720300,60000,390100,30000
1178,2003-06-16,8604,8,6,0,4,1131200,47100,589100,23500
1179,2003-06-18,6048,6,0,4,8,1221500,50800,636100,25400
1180,2003-06-20,9833,9,8,3,3,1073000,89400,581200,44700
1181,2003-06-23,6929,6,9,2,9,1090800,90900,590800,45400
1182,2003-06-25,5863,5,8,6,3,940100,39100,489600,19500
1183,2003-06-27,7605,7,6,0,5,1082900,45100,564000,22500
1184,2003-06-30,0714,0,7,1,4,521100,21700,271400,10800
1185,2003-07-02,7113,7,1,1,3,813700,67800,440700,33900
1186,2003-07-04,7239,7,2,3,9,702800,29200,366000,14600
1187,2003-07-07,2016,2,0,1,6,886400,36900,461600,18400
1188,2003-07-09,4960,4,9,6,0,1403800,58400,731100,29200
1189,2003-07-11,7781,7,7,8,1,1115100,92900,604000,46400
1190,2003-07-14,0837,0,8,3,7,1430700,59600,745100,29800
1191,2003-07-16,0027,0,0,2,7,851000,70900,460900,35400
1192,2003-07-18,9529,9,5,2,9,1366600,113800,740200,56900
1193,2003-07-21,6336,6,3,3,6,1073500,178900,626200,89400
1194,2003-07-23,4712,4,7,1,2,770000,32000,401000,16000
1195,2003-07-25,0625,0,6,2,5,643900,26800,335300,13400
1196,2003-07-28,6610,6,6,1,0,1084100,90300,587200,45100
1197,2003-07-30,7564,7,5,6,4,1076100,44800,560400,22400
1198,2003-08-01,9841,9,8,4,1,647200,26900,337000,13400
1199,2003-08-04,3177,3,1,7,7,694400,57800,376100,28900
1200,2003-08-06,4544,4,5,4,4,739000,184700,461800,92300
1201,2003-08-08,9572,9,5,7,2,961600,40000,500800,20000
1202,2003-08-11,3718,3,7,1,8,682200,28400,355300,14200
1203,2003-08-13,3238,3,2,3,8,967200,80600,523900,40300
1204,2003-08-15,1696,1,6,9,6,983800,81900,532800,40900
1205,2003-08-18,5878,5,8,7,8,1359200,113200,736200,56600
1206,2003-08-20,1315,1,3,1,5,614700,51200,332900,25600
1207,2003-08-22,0984,0,9,8,4,1307400,54400,680900,27200
1208,2003-08-25,5740,5,7,4,0,1255700,52300,654000,26100
1209,2003-08-27,7034,7,0,3,4,903500,37600,470500,18800
1210,2003-08-29,1360,1,3,6,0,1181700,49200,615400,24600
1211,2003-09-01,5048,5,0,4,8,1105800,46000,575900,23000
1212,2003-09-03,6047,6,0,4,7,986500,41100,513800,20500
1213,2003-09-05,4954,4,9,5,4,1138400,94800,616600,47400
1214,2003-09-08,0071,0,0,7,1,891600,74300,482900,37100
1215,2003-09-10,0182,0,1,8,2,1087800,45300,566500,22600
1216,2003-09-12,0563,0,5,6,3,1308800,54500,681600,27200
1217,2003-09-15,3991,3,9,9,1,874900,72900,473900,36400
1218,2003-09-17,7137,7,1,3,7,401200,33400,217300,16700
1219,2003-09-19,7744,7,7,4,4,843400,140500,491900,70200
1220,2003-09-22,1413,1,4,1,3,719300,59900,389600,29900
1221,2003-09-24,8030,8,0,3,0,1049000,87400,568200,43700
1222,2003-09-26,1642,1,6,4,2,1081300,45000,563100,22500
1223,2003-09-29,2308,2,3,0,8,917800,38200,478000,19100
1224,2003-10-01,5404,5,4,0,4,1554300,129500,841900,64700
1225,2003-10-03,1065,1,0,6,5,1017000,42300,529600,21100
1226,2003-10-06,0923,0,9,2,3,500500,20800,260600,10400
1227,2003-10-08,4475,4,4,7,5,1152700,96000,624300,48000
1228,2003-10-10,6685,6,6,8,5,301300,25100,163200,12500
1229,2003-10-13,3409,3,4,0,9,1001100,41700,521400,20800
1230,2003-10-15,7871,7,8,7,1,885000,73700,479300,36800
1231,2003-10-17,6084,6,0,8,4,1047400,43600,545500,21800
1232,2003-10-20,3940,3,9,4,0,884000,36800,460400,18400
1233,2003-10-22,8185,8,1,8,5,1308400,109000,708700,54500
1234,2003-10-24,3040,3,0,4,0,945000,78700,511800,39300
1235,2003-10-27,3780,3,7,8,0,839600,34900,437200,17400
1236,2003-10-29,5559,5,5,5,9,896900,224200,560500,112100
1237,2003-10-31,5559,5,5,5,9,633600,158400,396000,79200
1238,2003-11-03,2412,2,4,1,2,699900,58300,379100,29100
1239,2003-11-05,8090,8,0,9,0,873400,72700,473000,36300
1240,2003-11-07,4057,4,0,5,7,856900,35700,446300,17800
1241,2003-11-10,8444,8,4,4,4,1180300,295000,737600,147500
1242,2003-11-12,6880,6,8,8,0,1307000,108900,707900,54400
1243,2003-11-14,8823,8,8,2,3,354800,29500,192100,14700
1244,2003-11-17,8984,8,9,8,4,1735600,144600,940100,72300
1245,2003-11-19,3745,3,7,4,5,669200,27800,348500,13900
1246,2003-11-21,6272,6,2,7,2,1230400,102500,666400,51200
1247,2003-11-24,5603,5,6,0,3,831700,34600,433100,17300
1248,2003-11-26,9810,9,8,1,0,1001700,41700,521700,20800
1249,2003-11-28,5555,5,5,5,5,279700,,,
1250,2003-12-01,2167,2,1,6,7,1079400,44900,562100,22400
1251,2003-12-03,0498,0,4,9,8,1201800,50000,625900,25000
1252,2003-12-05,3325,3,3,2,5,784200,65300,424700,32600
1253,2003-12-08,3251,3,2,5,1,772100,32100,402100,16000
1254,2003-12-10,4422,4,4,2,2,1006600,167700,587100,83800
1255,2003-12-12,6998,6,9,9,8,1085500,90400,587900,45200
1256,2003-12-15,8943,8,9,4,3,958500,39900,499200,19900
1257,2003-12-17,6815,6,8,1,5,1206500,50200,628300,25100
1258,2003-12-19,4037,4,0,3,7,727400,30300,378800,15100
1259,2003-12-22,5815,5,8,1,5,1180000,98300,639100,49100
1260,2003-12-24,6039,6,0,3,9,698200,29000,363600,14500
1261,2003-12-26,2389,2,3,8,9,683700,28400,356000,14200
1262,2003-12-29,3399,3,3,9,9,576700,96100,336400,48000
1263,2004-01-05,7138,7,1,3,8,968000,40300,504100,20100
1264,2004-01-07,2324,2,3,2,4,732600,61000,396800,30500
1265,2004-01-09,0083,0,0,8,3,1172800,97700,635200,48800
1266,2004-01-12,8351,8,3,5,1,954500,39700,497100,19800
1267,2004-01-14,2185,2,1,8,5,1027300,42800,535000,21400
1268,2004-01-16,9722,9,7,2,2,1186200,98800,642500,49400
1269,2004-01-19,7337,7,3,3,7,880700,146700,513700,73300
1270,2004-01-21,9483,9,4,8,3,1167600,48600,608100,24300
1271,2004-01-23,1255,1,2,5,5,828700,69000,448800,34500
1272,2004-01-26,2981,2,9,8,1,876300,36500,456400,18200
1273,2004-01-28,1995,1,9,9,5,1132600,94300,613400,47100
1274,2004-01-30,1915,1,9,1,5,841000,70000,455500,35000
1275,2004-02-02,3824,3,8,2,4,433100,18000,225500,9000
1276,2004-02-04,0982,0,9,8,2,1309100,54500,681800,27200
1277,2004-02-06,3879,3,8,7,9,1214300,50500,632400,25200
1278,2004-02-09,5122,5,1,2,2,851600,70900,461200,35400
1279,2004-02-11,9807,9,8,0,7,1361400,56700,709000,28300
1280,2004-02-13,1085,1,0,8,5,843100,35100,439100,17500
1281,2004-02-16,5011,5,0,1,1,712200,59300,385700,29600
1282,2004-02-18,2421,2,4,2,1,773300,64400,418800,32200
1283,2004-02-20,8813,8,8,1,3,987500,82200,534800,41100
1284,2004-02-23,7244,7,2,4,4,1189600,99100,644300,49500
1285,2004-02-25,2282,2,2,8,2,1098600,274600,686600,137300
1286,2004-02-27,9108,9,1,0,8,910200,37900,474000,18900
1287,2004-03-01,4516,4,5,1,6,1040600,43300,541900,21600
1288,2004-03-03,9473,9,4,7,3,1192000,49600,620800,24800
1289,2004-03-05,7764,7,7,6,4,1125000,93700,609300,46800
1290,2004-03-08,4750,4,7,5,0,1149100,47800,598400,23900
1291,2004-03-10,2608,2,6,0,8,1032000,43000,537500,21500
1292,2004-03-12,8834,8,8,3,4,933900,77800,505800,38900
1293,2004-03-15,4747,4,7,4,7,724700,120700,422700,60300
1294,2004-03-17,2914,2,9,1,4,588100,24500,306300,12200
1295,2004-03-19,9396,9,3,9,6,970400,80800,525600,40400
1296,2004-03-22,3413,3,4,1,3,897000,74700,485800,37300
1297,2004-03-24,0769,0,7,6,9,1550200,64500,807300,32200
1298,2004-03-26,0318,0,3,1,8,462900,19200,241000,9600
1299,2004-03-29,7766,7,7,6,6,1075100,179100,627100,89500
1300,2004-03-31,0322,0,3,2,2,618200,51500,334800,25700
1301,2004-04-02,7623,7,6,2,3,662000,27500,344700,13700
1302,2004-04-05,3979,3,9,7,9,1283600,106900,695200,53400
1303,2004-04-07,2670,2,6,7,0,1176700,49000,612800,24500
1304,2004-04-09,9082,9,0,8,2,1018800,42400,530600,21200
1305,2004-04-12,2356,2,3,5,6,565100,23500,294300,11700
1306,2004-04-14,4380,4,3,8,0,1204600,50100,627300,25000
1307,2004-04-16,7587,7,5,8,7,1472300,122600,797400,61300
1308,2004-04-19,4544,4,5,4,4,522700,130600,326600,65300
1309,2004-04-21,8455,8,4,5,5,998900,83200,541000,41600
1310,2004-04-23,7481,7,4,8,1,1024600,42600,533600,21300
1311,2004-04-26,5337,5,3,3,7,828000,69000,448500,34500
1312,2004-04-28,7896,7,8,9,6,1230200,51200,640700,25600
1313,2004-04-30,1363,1,3,6,3,1094100,91100,592600,45500
1314,2004-05-03,6771,6,7,7,1,972100,81000,526500,40500
1315,2004-05-05,5083,5,0,8,3,944900,39300,492100,19600
1316,2004-05-07,8384,8,3,8,4,1077600,89800,583700,44900
1317,2004-05-10,4798,4,7,9,8,1033500,43000,538200,21500
1318,2004-05-12,0865,0,8,6,5,1230900,51200,641000,25600
1319,2004-05-14,5525,5,5,2,5,731900,182900,457400,91400
1320,2004-05-17,7559,7,5,5,9,1223100,101900,662500,50900
1321,2004-05-19,0319,0,3,1,9,653600,27200,340400,13600
1322,2004-05-21,5282,5,2,8,2,1021300,85100,553200,42500
1323,2004-05-24,4105,4,1,0,5,1047100,43600,545300,21800
1324,2004-05-26,7807,7,8,0,7,1526600,127200,826900,63600
1325,2004-05-28,1070,1,0,7,0,1210700,100800,655700,50400
1326,2004-05-31,5972,5,9,7,2,1011500,42100,526800,21000
1327,2004-06-02,0807,0,8,0,7,808900,67400,438100,33700
1328,2004-06-04,0295,0,2,9,5,1087800,45300,566500,22600
1329,2004-06-07,1508,1,5,0,8,916600,38100,477300,19000
1330,2004-06-09,2059,2,0,5,9,799400,33300,416300,16600
1331,2004-06-11,5223,5,2,2,3,1049000,87400,568200,43700
1332,2004-06-14,6966,6,9,6,6,966500,241600,604000,120800
1333,2004-06-16,1459,1,4,5,9,995700,41400,518500,20700
1334,2004-06-18,5909,5,9,0,9,1045100,87000,566000,43500
1335,2004-06-21,6125,6,1,2,5,832100,34600,433300,17300
1336,2004-06-23,5823,5,8,2,3,781700,32500,407100,16200
1337,2004-06-25,0224,0,2,2,4,583700,48600,316100,24300
1338,2004-06-28,8476,8,4,7,6,1421200,59200,740200,29600
1339,2004-06-30,4974,4,9,7,4,995400,82900,539100,41400
1340,2004-07-01,8049,8,0,4,9,852300,35500,443900,17700
1341,2004-07-02,7881,7,8,8,1,944600,78700,511600,39300
1342,2004-07-05,3365,3,3,6,5,885100,73700,479400,36800
1343,2004-07-06,8592,8,5,9,2,977100,40700,508900,20300
1344,2004-07-07,1111,1,1,1,1,294600,,,
1345,2004-07-08,4488,4,4,8,8,828000,138000,483000,69000
1346,2004-07-09,4101,4,1,0,1,788500,65700,427100,32800
1347,2004-07-12,1176,1,1,7,6,1121900,93400,607600,46700
1348,2004-07-13,3350,3,3,5,0,1115800,92900,604300,46400
1349,2004-07-14,7256,7,2,5,6,898300,37400,467800,18700
1350,2004-07-15,1698,1,6,9,8,1096700,45600,571100,22800
1351,2004-07-16,5866,5,8,6,6,1134200,94500,614300,47200
1352,2004-07-19,7622,7,6,2,2,959700,79900,519800,39900
1353,2004-07-20,0198,0,1,9,8,903600,37600,470600,18800
1354,2004-07-21,6986,6,9,8,6,929200,77400,503300,38700
1355,2004-07-22,4709,4,7,0,9,976500,40600,508500,20300
1356,2004-07-23,1764,1,7,6,4,1053400,43800,548600,21900
1357,2004-07-26,9081,9,0,8,1,785700,32700,409200,16300
1358,2004-07-27,6791,6,7,9,1,896800,37300,467000,18600
1359,2004-07-28,4470,4,4,7,0,986600,82200,534400,41100
1360,2004-07-29,0308,0,3,0,8,635300,52900,344100,26400
1361,2004-07-30,2705,2,7,0,5,822900,34200,428500,17100
1362,2004-08-02,8369,8,3,6,9,859000,35700,447300,17800
1363,2004-08-03,5531,5,5,3,1,636400,53000,344700,26500
1364,2004-08-04,0478,0,4,7,8,1134300,47200,590700,23600
1365,2004-08-05,1291,1,2,9,1,754800,62900,408800,31400
1366,2004-08-06,5580,5,5,8,0,882700,73500,478100,36700
1367,2004-08-09,3348,3,3,4,8,1071300,89200,580200,44600
1368,2004-08-10,8581,8,5,8,1,930800,77500,504100,38700
1369,2004-08-11,8006,8,0,0,6,1525100,127000,826000,63500
1370,2004-08-12,7018,7,0,1,8,878500,36600,457500,18300
1371,2004-08-13,8701,8,7,0,1,787800,32800,410300,16400
1372,2004-08-16,0241,0,2,4,1,1261100,52500,656800,26200
1373,2004-08-17,6624,6,6,2,4,850000,70800,460400,35400
1374,2004-08-18,7867,7,8,6,7,835800,69600,452700,34800
1375,2004-08-19,5830,5,8,3,0,1086100,45200,565600,22600
1376,2004-08-20,6759,6,7,5,9,1184400,49300,616800,24600
1377,2004-08-23,0979,0,9,7,9,1642500,136800,889600,68400
1378,2004-08-24,0264,0,2,6,4,1343700,55900,699800,27900
1379,2004-08-25,0354,0,3,5,4,1144500,47600,596000,23800
1380,2004-08-26,6443,6,4,4,3,1115800,92900,604300,46400
1381,2004-08-27,0743,0,7,4,3,962400,40100,501200,20000
1382,2004-08-30,4394,4,3,9,4,1430300,119100,774700,59500
1383,2004-08-31,1729,1,7,2,9,791700,32900,412300,16400
1384,2004-09-01,8815,8,8,1,5,994500,82800,538600,41400
1385,2004-09-02,2589,2,5,8,9,847600,35300,441400,17600
1386,2004-09-03,4037,4,0,3,7,783600,32600,408100,16300
1387,2004-09-06,9502,9,5,0,2,931900,38800,485300,19400
1388,2004-09-07,1102,1,1,0,2,349200,29100,189100,14500
1389,2004-09-08,9345,9,3,4,5,1655800,68900,862300,34400
1390,2004-09-09,9424,9,4,2,4,1486400,123800,805100,61900
1391,2004-09-10,1908,1,9,0,8,555400,23100,289200,11500
1392,2004-09-13,4797,4,7,9,7,1049200,87400,568300,43700
1393,2004-09-14,8874,8,8,7,4,1129000,94000,611500,47000
1394,2004-09-15,5868,5,8,6,8,1076900,89700,583300,44800
1395,2004-09-16,5397,5,3,9,7,1187800,49400,618600,24700
1396,2004-09-17,5420,5,4,2,0,990000,41200,515600,20600
1397,2004-09-20,2213,2,2,1,3,691400,57600,374500,28800
1398,2004-09-21,5479,5,4,7,9,810000,33700,421800,16800
1399,2004-09-22,1672,1,6,7,2,1052900,43800,548300,21900
1400,2004-09-23,9711,9,7,1,1,1041700,86800,564200,43400
1401,2004-09-24,9456,9,4,5,6,1105200,46000,575600,23000
1402,2004-09-27,7611,7,6,1,1,1045800,87100,566400,43500
1403,2004-09-28,6261,6,2,6,1,1048200,87300,567700,43600
1404,2004-09-29,8528,8,5,2,8,967400,80600,524000,40300
1405,2004-09-30,2952,2,9,5,2,996400,83000,539700,41500
1406,2004-10-01,4486,4,4,8,6,992000,82600,537300,41300
1407,2004-10-04,1478,1,4,7,8,713600,29700,371600,14800
1408,2004-10-05,3318,3,3,1,8,755800,62900,409300,31400
1409,2004-10-06,6703,6,7,0,3,1076100,44800,560400,22400
1410,2004-10-07,6778,6,7,7,8,887100,73900,480500,36900
1411,2004-10-08,1149,1,1,4,9,849800,70800,460300,35400
1412,2004-10-11,3407,3,4,0,7,682900,28400,355600,14200
1413,2004-10-12,4996,4,9,9,6,973200,81100,527100,40500
1414,2004-10-13,1174,1,1,7,4,676600,56300,366400,28100
1415,2004-10-14,1418,1,4,1,8,626800,52200,339500,26100
1416,2004-10-15,1939,1,9,3,9,617600,51400,334500,25700
1417,2004-10-18,4230,4,2,3,0,1255700,52300,654000,26100
1418,2004-10-19,5807,5,8,0,7,914900,38100,476500,19000
1419,2004-10-20,1510,1,5,1,0,803300,66900,435100,33400
1420,2004-10-21,8339,8,3,3,9,1269500,105700,687600,52800
1421,2004-10-22,6151,6,1,5,1,1092200,91000,591600,45500
1422,2004-10-25,7535,7,5,3,5,864600,72000,468300,36000
1423,2004-10-26,0598,0,5,9,8,1376800,57300,717000,28600
1424,2004-10-27,9570,9,5,7,0,1070300,44500,557400,22200
1425,2004-10-28,6026,6,0,2,6,1379800,114900,747300,57400
1426,2004-10-29,7728,7,7,2,8,909300,75700,492500,37800
1427,2004-11-01,7121,7,1,2,1,727000,60500,393700,30200
1428,2004-11-02,9519,9,5,1,9,1264200,105300,684700,52600
1429,2004-11-03,6437,6,4,3,7,949900,39500,494700,19700
1430,2004-11-04,9002,9,0,0,2,1093800,91100,592400,45500
1431,2004-11-05,1118,1,1,1,8,315400,78800,197100,39400
1432,2004-11-08,0287,0,2,8,7,1367600,56900,712200,28400
1433,2004-11-09,1394,1,3,9,4,1043400,43400,543400,21700
1434,2004-11-10,4736,4,7,3,6,881600,36700,459100,18300
1435,2004-11-11,4985,4,9,8,5,872700,36300,454500,18100
1436,2004-11-12,8128,8,1,2,8,778100,64800,421400,32400
1437,2004-11-15,4387,4,3,8,7,785400,32700,409000,16300
1438,2004-11-16,7559,7,5,5,9,1340500,111700,726100,55800
1439,2004-11-17,7955,7,9,5,5,882500,73500,478000,36700
1440,2004-11-18,6500,6,5,0,0,1197100,99700,648400,49800
1441,2004-11-19,6992,6,9,9,2,1415200,117900,766500,58900
1442,2004-11-22,5036,5,0,3,6,1004600,41800,523200,20900
1443,2004-11-23,1219,1,2,1,9,273600,22800,148200,11400
1444,2004-11-24,3705,3,7,0,5,963500,40100,501800,20000
1445,2004-11-25,2778,2,7,7,8,978800,81500,530100,40700
1446,2004-11-26,7020,7,0,2,0,963300,80200,521700,40100
1447,2004-11-29,4784,4,7,8,4,884800,73700,479200,36800
1448,2004-11-30,2633,2,6,3,3,899400,74900,487100,37400
1449,2004-12-01,7192,7,1,9,2,1082200,45000,563600,22500
1450,2004-12-02,0424,0,4,2,4,601700,50100,325900,25000
1451,2004-12-03,2144,2,1,4,4,1247000,103900,675400,51900
1452,2004-12-06,7474,7,4,7,4,743400,123900,433600,61900
1453,2004-12-07,0469,0,4,6,9,1631400,67900,849600,33900
1454,2004-12-08,5924,5,9,2,4,970200,40400,505300,20200
1455,2004-12-09,5651,5,6,5,1,1274600,106200,690400,53100
1456,2004-12-10,7756,7,7,5,6,817000,68000,442500,34000
1457,2004-12-13,2785,2,7,8,5,929200,38700,483900,19300
1458,2004-12-14,7905,7,9,0,5,1008300,42000,525100,21000
1459,2004-12-15,7800,7,8,0,0,1069800,89100,579400,44500
1460,2004-12-16,2659,2,6,5,9,1044900,43500,544200,21700
